show,type,genre,opening,closing,performances 
"Jinny, the Carrier",Original,"Play, Comedy","Apr 10, 1905",Apr 1905,21
Jitney,Original,"Play, Drama","Jan 19, 2017","Mar 12, 2017",62
Joan Jett and the Black Hearts on Broadway,Original,"Special, Concert","Mar 01, 1989","Mar 05, 1989",5
Joan o' the Shoals,Original,"Play, Drama","Feb 03, 1902",Feb 1902,8
Jocko,Original,"Musical, Pantomime","Aug 28, 1865","Sep 02, 1865",12
Joe Egg,Revival,"Play, Comedy","Mar 27, 1985","Jun 23, 1985",93
Joe Turner's Come and Gone,Original,"Play, Drama","Mar 27, 1988","Jun 26, 1988",105
Joe Turner's Come and Gone,Revival,"Play, Drama","Apr 16, 2009","Jun 14, 2009",69
John,Original,Play,"Nov 02, 1927",Nov 1927,11
John Brown's Body,Original,Play,"Feb 14, 1953","Apr 11, 1953",65
John Bull's Other Island,Revival,Play,"Feb 10, 1948","Feb 14, 1948",8
John Ermine of the Yellowstone,Original,Play,"Nov 02, 1903",Nov 1903,24
John Ferguson,Original,Play,"May 13, 1919",<em>Closing date unknown</em>,354
John Ferguson,Revival,"Play, Drama","Jul 10, 1933",Aug 1933,54
John Gabriel Borkman,Revival,"Play, Drama","Apr 01, 1915","Apr 03, 1915",3
John Gabriel Borkman,Revival,"Play, Drama","Jan 29, 1926",Feb 1926,7
John Gabriel Borkman,Revival,"Play, Drama","Nov 09, 1926",Nov 1926,15
John Gabriel Borkman,Revival,"Play, Drama","Nov 12, 1946","Feb 19, 1947",21
John Gabriel Borkman,Revival,"Play, Drama","Dec 18, 1980","Feb 08, 1981",61
John Glayde's Honour,Original,Play,"Dec 23, 1907","Jan 04, 1908",16
John Hawthorne,Original,"Play, Tragedy","Jan 24, 1921",Jan 1921,5
John Henry,Original,"Play, Farce","May 25, 1903",Jun 1903,21
John Henry,Original,"Musical, Drama","Jan 10, 1940","Jan 15, 1940",7
John Hudson's Wife,Original,"Play, Melodrama","Sep 20, 1906",Oct 1906,27
John Lithgow: Stories By Heart,Original,"Play, Solo","Jan 11, 2018","Mar 04, 2018",61
John Murray Anderson's Almanac,Original,"Musical, Revue","Dec 10, 1953","Jun 26, 1954",229
Johnny 2 X 4,Original,"Play, Melodrama","Mar 16, 1942","May 09, 1942",65
Johnny Belinda,Original,"Play, Drama","Sep 18, 1940","Jun 21, 1941",321
Johnny Mathis and The Miracles,Original,Special,"Nov 13, 1974","Nov 24, 1974",15
Johnny No-Trump,Original,Play,"Oct 08, 1967","Oct 08, 1967",1
Johnny on a Spot,Original,Play,"Jan 08, 1942","Jan 10, 1942",4
"Johnny, Get Your Gun",Original,Play,"Feb 12, 1917",Jul 1917,80
Joint Owners in Spain,Original,Play,"May 06, 1929","May 06, 1929",1
Jolly's Progress,Original,Play,"Dec 05, 1959","Dec 12, 1959",9
Jonathan Makes a Wish,Original,Play,"Sep 10, 1918",Sep 1918,23
Jonesy,Original,"Play, Comedy","Apr 09, 1929",Jul 1929,96
Jonica,Original,"Musical, Comedy","Apr 07, 1930","May 10, 1930",40
Jose Greco,Original,Special,"Jan 12, 1953","Jan 24, 1953",16
Jose Greco,Original,Special,"Apr 26, 1954","May 08, 1954",16
Jose Greco Ballet,Original,Special,"Oct 01, 1951","Nov 24, 1951",65
Josef Suss,Original,"Play, Drama","Jan 20, 1930",Feb 1930,40
Joseph,Original,"Play, Comedy","Feb 12, 1930",Feb 1930,13
Joseph and His Brethren,Original,Play,"Jan 11, 1913",Apr 1913,121
Joseph and the Amazing Technicolor Dreamcoat,Original,"Musical, Comedy","Jan 27, 1982","Sep 04, 1983",747
Joseph and the Amazing Technicolor Dreamcoat,Revival,"Musical, Comedy","Nov 10, 1993","May 29, 1994",231
Joseph Entangled,Original,"Play, Comedy","Oct 10, 1904",Dec 1904,65
Josephine,Original,Play,"Jan 28, 1918",Feb 1918,24
Josephine Baker,Original,"Musical, Revue","Feb 04, 1964","Feb 16, 1964",16
Josephine Baker,Original,"Musical, Revue","Mar 31, 1964","Apr 19, 1964",24
Journey to Jerusalem,Original,"Play, Drama","Oct 05, 1940","Oct 19, 1940",17
Journey's End,Original,"Play, Drama","Mar 22, 1929","May 17, 1930",485
Journey's End,Original,"Play, Drama","Sep 18, 1939","Sep 30, 1939",16
Journey's End,Revival,"Play, Drama","Feb 22, 2007","Jun 10, 2007",125
Journeyman,Original,"Play, Drama","Jan 29, 1938",Mar 1938,41
Joy of Living,Original,"Play, Comedy","Apr 06, 1931","Apr 18, 1931",16
Joy to the World,Original,Play,"Mar 18, 1948","Jul 03, 1948",124
Joyce Grenfell (Monologues and Songs),Original,"Special, Comedy","Apr 07, 1958","Apr 26, 1958",24
Joyce Grenfell Requests the Pleasure...,Original,"Musical, Revue","Oct 10, 1955","Dec 03, 1955",65
Juan Darien,Original,"Musical, Puppets","Nov 24, 1996","Jan 05, 1997",49
Jubilee,Original,Play,"May 08, 1928","May 08, 1928",1
Jubilee,Original,"Musical, Comedy","Oct 12, 1935","Mar 07, 1936",169
Judas,Original,Play,"Jan 24, 1929",Feb 1929,12
Judge Lynch,Original,Play,"May 07, 1924","May 07, 1924",1
Judgment at Nuremberg,Original,"Play, Drama","Mar 26, 2001","May 13, 2001",56
Judgment Day,Original,"Play, Drama","Sep 12, 1934",Dec 1934,93
Judith of Bethulia,Original,Play,"Dec 05, 1904","Dec 19, 1904",16
Judith Zaraine,Original,"Play, Drama","Jan 16, 1911",Jan 1911,16
Judy,Original,"Musical, Comedy","Feb 07, 1927","Apr 30, 1927",96
Judy Drops In,Original,"Play, Comedy","Oct 04, 1924",Nov 1924,41
Judy Forgot,Original,"Musical, Comedy","Oct 06, 1910","Nov 12, 1910",44
Judy Garland,Original,"Special, Concert","May 11, 1959","May 17, 1959",7
Judy Garland &#34;At Home at the Palace&#34;,Original,"Special, Revue","Jul 31, 1967","Aug 26, 1967",24
Judy Garland at the Palace &#34;Two-A-Day&#34;,Original,"Special, Revue","Oct 16, 1951",Jun 1952,266
Julia Sweeney's God Said &#34;Ha!&#34;,Original,"Play, Solo","Nov 19, 1996","Dec 08, 1996",22
"Julia, Jake and Uncle Joe",Original,Play,"Jan 28, 1961","Jan 28, 1961",1
Julie,Original,Play,"May 09, 1927",May 1927,8
Julie Bonbon,Original,"Play, Romance","Jan 01, 1906","Apr 15, 1906",106
Julius Caesar,Revival,"Play, Tragedy","Dec 01, 1902",Jan 1903,50
Julius Caesar,Revival,"Play, Tragedy","Nov 04, 1912",Dec 1912,32
Julius Caesar,Revival,"Play, Tragedy","Mar 15, 1918","Mar 15, 1918",1
Julius Caesar,Revival,"Play, Tragedy","Jun 06, 1927",Jun 1927,8
Julius Caesar,Revival,"Play, Tragedy","Nov 11, 1937","May 28, 1938",157
Julius Caesar,Revival,"Play, Tragedy","Jun 20, 1950","Jul 15, 1950",31
Julius Caesar,Revival,"Play, Tragedy","Apr 03, 2005","Jun 12, 2005",81
Jumpers,Original,"Play, Farce","Apr 22, 1974","Jun 01, 1974",48
Jumpers,Revival,"Play, Farce","Apr 25, 2004","Jul 11, 2004",89
Jumping Jupiter,Original,"Musical, Farce","Mar 06, 1911","Mar 25, 1911",24
June Days,Original,"Musical, Comedy","Aug 06, 1925","Oct 17, 1925",84
June Love,Original,"Musical, Comedy","Apr 25, 1921","Jun 04, 1921",48
June Madness,Original,Play,"Sep 25, 1912",Oct 1912,13
June Moon,Original,"Play, Comedy","Oct 09, 1929","Jun 04, 1930",273
June Moon,Revival,"Play, Comedy","May 15, 1933","Jun 24, 1933",49
Junk,Original,Play,"Jan 05, 1927",Jan 1927,9
Junk,Original,Play,"Nov 02, 2017","Jan 07, 2018",77
Juno,Original,"Musical, Comedy","Mar 09, 1959","Mar 21, 1959",16
Juno and the Paycock,Original,"Play, Drama","Mar 15, 1926",May 1926,74
Juno and the Paycock,Revival,"Play, Drama","Dec 19, 1927",Jan 1928,40
Juno and the Paycock,Revival,"Play, Drama","Nov 23, 1934",Nov 1934,9
Juno and the Paycock,Revival,"Play, Tragedy","Dec 06, 1937",Dec 1937,8
Juno and the Paycock,Revival,"Play, Drama","Jan 16, 1940","Apr 13, 1940",105
Juno and the Paycock,Revival,"Play, Drama","Jun 21, 1988","Jul 02, 1988",12
Jupiter Laughs,Original,"Play, Drama","Sep 09, 1940","Sep 28, 1940",24
Just a Minute,Original,"Musical, Comedy","Oct 27, 1919","Nov 29, 1919",40
Just a Minute,Original,"Musical, Vaudeville","Oct 08, 1928","Dec 15, 1928",160
Just a Wife,Original,Play,"Feb 01, 1910",Apr 1910,79
Just a Woman,Original,Play,"Jan 17, 1916",May 1916,136
Just Around the Corner,Original,Play,"Feb 05, 1919",Feb 1919,13
Just as Well,Original,Play,"Mar 06, 1914",Mar 1914,5
Just Because,Original,"Musical, Comedy","Mar 22, 1922","Apr 29, 1922",46
Just Beyond,Original,"Play, Drama","Dec 01, 1925",Dec 1925,7
Just Boys,Original,Play,"Sep 13, 1915",Sep 1915,16
Just Fancy,Original,"Musical, Romance","Oct 11, 1927","Dec 17, 1927",79
Just Herself,Original,Play,"Dec 23, 1914",Jan 1915,13
Just Life,Original,"Play, Drama","Sep 14, 1926",Nov 1926,79
Just Like John,Original,Play,"Aug 12, 1912",Aug 1912,16
Just Out of College,Original,"Play, Comedy","Sep 27, 1905",Nov 1905,61
Just Outside the Door,Original,Play,"Aug 30, 1915",Sep 1915,8
Just Suppose,Original,"Play, Comedy","Nov 01, 1920",Jan 1921,88
Just to Get Married,Original,Play,"Jan 01, 1912",Jan 1912,24
Just to Remind You,Original,"Play, Drama","Sep 07, 1931",Sep 1931,16
Justice,Original,Play,"Apr 03, 1916",Jul 1916,104
K2,Original,"Play, Drama","Mar 30, 1983","Jun 11, 1983",85
Karen,Original,Play,"Jan 07, 1918",Mar 1918,80
Karl and Anna,Original,"Play, Drama","Oct 07, 1929",Nov 1929,49
Kassa,Original,Play,"Jan 23, 1909",Mar 1909,65
Kat and the Kings,Original,"Musical, Comedy","Aug 19, 1999","Jan 02, 2000",157
Kataki,Original,"Play, Drama","Apr 09, 1959","Apr 25, 1959",20
Katerina,Original,Play,"Feb 25, 1929",Mar 1929,19
Katherine Dunham and Her Company,Original,"Special, Dance","Apr 19, 1950","May 20, 1950",37
Katherine Dunham and Her Company,Revival,"Special, Dance","Nov 22, 1955","Dec 17, 1955",32
Kathleen,Original,Play,"Feb 03, 1948","Feb 10, 1948",7
Kathleen ni Houlihan,Original,Play,"Jun 03, 1903","Jun 04, 1903",2
Kathleen ni Houlihan,Revival,Play,"Feb 21, 1905","Feb 21, 1905",1
Kathleen ni Houlihan,Revival,Play,Nov 1934,Nov 1934,1
Katie Roche,Original,Play,"Oct 02, 1937",Oct 1937,5
Katinka,Original,Musical,"Dec 23, 1915","Jul 01, 1916",220
Katja,Original,"Musical, Operetta","Oct 18, 1926","Jan 22, 1927",112
Katy Did,Original,"Play, Comedy","May 09, 1927",May 1927,8
Katy's Kisses,Original,"Play, Farce","Sep 24, 1919",Oct 1919,13
Keep 'em Laughing,Original,"Musical, Vaudeville","Apr 24, 1942","May 28, 1942",77
Keep Her Smiling,Original,Play,"Aug 05, 1918",Nov 1918,104
Keep It Clean,Original,"Musical, Revue","Jun 24, 1929","Jul 06, 1929",16
Keep It In the Family,Original,"Play, Comedy","Sep 27, 1967","Sep 30, 1967",5
Keep It to Yourself,Original,Play,"Dec 30, 1918",Apr 1919,128
Keep Moving,Original,"Musical, Revue","Aug 23, 1934","Sep 08, 1934",20
Keep Shufflin',Original,"Musical, Comedy","Feb 27, 1928","May 26, 1928",104
Keeper of the Keys,Original,"Play, Drama","Oct 18, 1933",Nov 1933,23
Keeping Expenses Down,Original,"Play, Comedy","Oct 20, 1932","Oct 29, 1932",12
Keeping Up Appearances,Original,Play,"Oct 19, 1910",Oct 1910,9
Keeping Up Appearances,Revival,Play,"Nov 08, 1916",Apr 1917,173
Keeping Up Appearances,Revival,Play,"Jan 17, 1918",Jan 1918,4
Kelly,Original,Musical,"Feb 06, 1965","Feb 06, 1965",1
Kempy,Original,"Play, Comedy","May 15, 1922",Jun 1922,38
Kempy,Revival,"Play, Comedy","May 11, 1927",Jun 1927,46
Ken Murray's Hollywood,Original,Special,"May 10, 1965","May 22, 1965",16
Kenilworth,Original,"Musical, Burlesque","Feb 18, 1867","Mar 02, 1867",12
Kenilworth,Revival,"Musical, Burlesque","Nov 29, 1869","Jan 01, 1870",39
Kenilworth,Revival,"Musical, Burlesque","Sep 21, 1872","May 06, 1873",16
Kennedy's Children,Original,Play,"Nov 03, 1975","Jan 04, 1976",72
Kept,Original,"Play, Comedy","Sep 17, 1926",Sep 1926,11
Key Largo,Original,"Play, Drama","Nov 27, 1939","Feb 24, 1940",105
Kibitzer,Original,"Play, Comedy","Feb 18, 1929",Jun 1929,120
Kick In,Original,Play,"Oct 15, 1914",Mar 1915,188
Kid Boots,Original,"Musical, Comedy","Dec 31, 1923","Feb 21, 1925",489
Kiki,Original,"Play, Comedy","Nov 29, 1921","May 05, 1923",600
Kiki & Herb: Alive on Broadway,Original,"Special, Comedy","Aug 15, 2006","Sep 10, 2006",27
Kill That Story,Original,"Play, Comedy","Aug 29, 1934","Dec 15, 1934",117
Killers,Original,Play,"Mar 13, 1928",Apr 1928,23
Kilpatrick's Old-Time Minstrels,Original,"Musical, Minstrel","Apr 19, 1930","Apr 26, 1930",9
Kind Lady,Original,"Play, Drama","Apr 23, 1935","Jun 29, 1935",82
Kind Lady,Original,"Play, Drama","Sep 09, 1935",Sep 1935,20
Kind Lady,Revival,"Play, Drama","Sep 03, 1940","Nov 30, 1940",107
Kind Sir,Original,"Play, Comedy","Nov 04, 1953","Mar 27, 1954",166
Kindling,Original,Play,"Dec 05, 1911","Jan 04, 1912",39
Kindred,Original,"Play, Drama","Dec 26, 1939","Jan 06, 1940",16
King Casey,Original,"Musical, Farce","Nov 18, 1907","Nov 23, 1907",8
King Charles III,Original,Play,"Nov 01, 2015","Jan 31, 2016",103
King David,Original,"Special, Concert","May 18, 1997","May 23, 1997",6
King Hedley II,Original,"Play, Drama","May 01, 2001","Jul 01, 2001",72
"King Henry IV, Part I",Revival,"Play, History","Feb 25, 1768",<em>Closing date unknown</em>,0
"King Henry IV, Part I",Revival,"Play, History","Jan 30, 1939","Apr 01, 1939",74
"King Henry IV, Part I",Revival,"Play, History","May 06, 1946","Jun 22, 1946",8
"King Henry IV, Part II",Revival,"Play, History","May 07, 1946","Jun 22, 1946",9
King Henry V,Revival,"Play, History","Oct 03, 1900",Nov 1900,54
King Henry V,Revival,"Play, History","Sep 30, 1912","Oct 14, 1912",16
King Henry V,Revival,"Play, History","Mar 15, 1928",Apr 1928,44
King Henry V,Revival,"Play, History","Dec 25, 1958","Jan 10, 1959",11
King Henry V,Revival,"Play, History","Nov 10, 1969","Nov 22, 1969",16
King Henry VIII,Revival,"Play, History","Mar 14, 1916",May 1916,63
King Henry VIII,Revival,"Play, History","Nov 06, 1946","Feb 21, 1947",40
King Lear,Revival,"Play, Tragedy","Mar 09, 1923",Mar 1923,2
King Lear,Revival,"Play, Tragedy","Dec 25, 1930","Jan 22, 1931",4
King Lear,Revival,"Play, Tragedy","Feb 18, 1947","Mar 08, 1947",8
King Lear,Revival,"Play, Tragedy","Dec 25, 1950","Feb 03, 1951",48
King Lear,Revival,"Play, Tragedy","Jan 12, 1956","Jan 29, 1956",21
King Lear,Revival,"Play, Tragedy","Nov 07, 1968","Feb 12, 1969",72
King Lear,Revival,"Play, Tragedy","Mar 04, 2004","Apr 18, 2004",33
King of Hearts,Original,"Musical, Comedy","Oct 22, 1978","Dec 03, 1978",48
King of Schnorrers,Original,Musical,"Nov 28, 1979","Jan 13, 1980",63
King Richard II,Revival,"Play, History","Feb 05, 1937",Jun 1937,133
King Richard II,Revival,"Play, History","Sep 15, 1937","Oct 16, 1937",38
King Richard II,Revival,"Play, History","Apr 01, 1940","Apr 27, 1940",32
King Richard II,Revival,"Play, History","Jan 24, 1951","Feb 04, 1951",15
King Richard II,Revival,"Play, History","Oct 23, 1956","Jan 12, 1957",27
King Richard III,Revival,"Play, History","Feb 17, 1908",Feb 1908,8
King Richard III,Revival,"Play, History","Mar 06, 1920",Mar 1920,27
King Richard III,Revival,"Play, History","Mar 24, 1943","Apr 03, 1943",11
King Richard III,Revival,"Play, History","Feb 08, 1949","Feb 26, 1949",23
King Richard III,Revival,"Play, History","Jun 14, 1979","Jul 15, 1979",33
King Washington,Original,Play,"Apr 26, 1901","Apr 26, 1901",1
Kingdoms,Original,Play,"Dec 13, 1981","Dec 27, 1981",17
Kipling,Original,"Play, Solo","Oct 10, 1984","Oct 21, 1984",12
Kismet,Original,Play,"Dec 25, 1911",Jun 1912,184
Kismet,Original,Musical,"Dec 03, 1953","Apr 23, 1955",583
Kiss and Tell,Original,"Play, Comedy","Mar 17, 1943","Jun 23, 1945",956
Kiss Me Quick,Original,Play,"Aug 26, 1913",Sep 1913,31
Kiss Me!,Original,"Musical, Comedy","Jul 18, 1927","Aug 13, 1927",28
"Kiss Me, Kate",Original,"Musical, Comedy","Dec 30, 1948","Jul 28, 1951",1077
"Kiss Me, Kate",Revival,"Musical, Comedy","Jan 08, 1952","Jan 13, 1952",8
"Kiss Me, Kate",Revival,"Musical, Comedy","Nov 18, 1999","Dec 30, 2001",881
Kiss of the Spider Woman,Original,"Musical, Drama","May 03, 1993","Jul 01, 1995",904
Kiss the Boys Good-bye,Original,"Play, Comedy","Sep 28, 1938",Jun 1939,286
Kiss Them for Me,Original,"Play, Comedy","Mar 20, 1945","Jun 23, 1945",110
Kissing Time,Original,"Musical, Comedy","Oct 11, 1920","Dec 04, 1920",65
Kith and Kin,Original,Play,"May 13, 1930","May 13, 1930",1
Kitty Darlin',Original,"Musical, Romance","Nov 07, 1917","Nov 17, 1917",14
Kitty Grey,Original,"Musical, Comedy","Jan 25, 1909","Mar 06, 1909",50
Kitty Mackay,Original,Play,"Jan 07, 1914",Sep 1914,278
Kitty's Kisses,Original,"Musical, Comedy","May 06, 1926","Oct 02, 1926",170
Knickerbocker Holiday,Original,"Musical, Comedy","Oct 19, 1938","Mar 11, 1939",168
Knights of Song,Original,"Musical, Play","Oct 17, 1938","Oct 29, 1938",16
Knock Knock,Original,"Play, Comedy","Feb 24, 1976","Jul 03, 1976",152
Knock on Wood,Original,"Play, Comedy","May 28, 1935",Jun 1935,11
Knockout,Original,Play,"May 06, 1979","Sep 16, 1979",154
Know Thyself,Original,Play,"Dec 27, 1909","Dec 27, 1909",1
Kongo,Original,Play,"Mar 30, 1926",Jul 1926,135
Kosher Kitty Kelly,Original,"Musical, Comedy","Jun 15, 1925","Dec 10, 1925",166
Kuan Yin,Original,"Special, Drama","Mar 16, 1926",Apr 1926,27
Kultur,Original,Play,"Sep 26, 1933",Oct 1933,10
Kwamina,Original,Musical,"Oct 23, 1961","Nov 18, 1961",32
Kykunkor,Original,"Special, Opera","Jun 10, 1934","Aug 04, 1934",65
L'Aiglon,Revival,"Play, Tragedy","Nov 26, 1900",Dec 1900,16
L'Aiglon,Revival,Play,"Apr 08, 1901",Apr 1901,8
L'Aiglon,Revival,Play,"Jun 19, 1911","Jun 19, 1911",1
L'Ecole Des Femmes,Original,"Play, Comedy","Mar 18, 1951","Apr 03, 1951",22
L'Elevation,Original,Play,"Nov 14, 1917",Dec 1917,38
L'Illusioniste,Original,Play,"Nov 22, 1926",<em>Closing date unknown</em>,72
L'Invitation au Voyage,Original,Play,"Oct 04, 1928",Oct 1928,19
La Belle Hélène,Revival,"Musical, Opera","Jan 12, 1899",Jun 1899,68
La Belle Marseillaise,Original,"Play, Drama","Nov 27, 1905",Dec 1905,29
La Belle Sauvage,Original,"Musical, Burlesque","Mar 04, 1872","Mar 30, 1872",28
La Bête,Original,"Play, Comedy","Feb 10, 1991","Mar 02, 1991",25
La Bête,Revival,"Play, Comedy","Oct 14, 2010","Jan 09, 2011",101
La Cage aux Folles,Original,"Musical, Comedy","Aug 21, 1983","Nov 15, 1987",1761
La Cage aux Folles,Revival,"Musical, Comedy","Dec 09, 2004","Jun 26, 2005",229
La Cage aux Folles,Revival,"Musical, Comedy","Apr 18, 2010","May 01, 2011",433
La Citta Morta,Original,Play,"Nov 04, 1902",Nov 1902,2
La Citta Morta,Revival,Play,"Dec 08, 1923",Dec 1923,2
La Compania Dramatic Espanola,Original,Special,"Apr 01, 1932",May 1932,40
La Dame aux Camelias,Revival,Play,"Nov 26, 1900",Nov 1900,4
La Dame aux Camelias,Revival,Play,"Jun 19, 1911","Jun 19, 1911",1
La Femme X,Revival,Play,"Jun 19, 1911","Jun 19, 1911",1
La Gioconda,Original,Play,"Nov 04, 1902",Nov 1902,3
La Grande-Duchesse de Gérolstein,Revival,"Musical, Opera","Oct 04, 1868","Oct 31, 1868",18
La Gringa,Original,Play,"Feb 01, 1928",Feb 1928,13
La Grosse Valise,Original,Musical,"Dec 14, 1965","Dec 18, 1965",7
La Jalousie du Barbouille,Original,"Play, Farce","May 06, 1958","May 11, 1958",8
La Locandiera (The Mistress of the Inn),Original,"Play, Comedy","Dec 06, 1926",Jan 1927,31
La Nativite,Original,Play,"Feb 05, 1933",Feb 1933,2
La Otra Honra,Original,Play,"Nov 19, 1953","Dec 12, 1953",31
La Plume de Ma Tante,Original,"Musical, Revue","Nov 11, 1958","Dec 17, 1960",835
La Porta Chiusa,Original,Play,"Dec 08, 1923",Dec 1923,2
La Repetition ou L'Amour Puni,Original,"Play, Comedy","Nov 27, 1952","Nov 29, 1952",4
La Serva Amorosa,Original,"Play, Comedy","Oct 17, 1987",Oct 1987,3
La Serva Padrona,Original,"Special, Opera","Oct 06, 1987","Oct 06, 1987",1
La Sonnambula,Original,"Musical, Burlesque","May 02, 1870","May 21, 1870",21
La Strada,Original,Musical,"Dec 14, 1969","Dec 14, 1969",1
La Tendresse,Original,"Play, Drama","Sep 25, 1922",Nov 1922,64
La Tosca,Original,Play,"Nov 26, 1900",Nov 1900,4
La Tosca,Revival,"Special, Opera","Nov 15, 1944","Nov 26, 1944",3
La Tosca,Revival,"Special, Opera","Sep 27, 1945","Nov 04, 1945",5
La Tosca,Revival,"Special, Opera","May 06, 1946","May 06, 1946",1
La Tosca,Revival,"Special, Opera","Apr 30, 1947","Apr 30, 1947",1
La Tragedie de Carmen,Original,"Musical, Opera","Nov 17, 1983","Apr 28, 1984",187
La Traviata,Revival,"Special, Opera","May 08, 1944","May 13, 1944",3
La Traviata,Revival,"Special, Opera","Nov 12, 1944","Nov 25, 1944",3
La Traviata,Revival,"Special, Opera","Sep 30, 1945","Nov 29, 1945",7
La Traviata,Revival,"Special, Opera","May 03, 1946","May 03, 1946",1
La Traviata,Revival,"Special, Opera","Apr 26, 1947","May 11, 1947",3
La Vida es Sueño,Original,Play,"Nov 19, 1953","Dec 12, 1953",31
"La, La, Lucille",Original,"Musical, Farce","May 26, 1919","Oct 11, 1919",104
Laburnum Grove,Original,"Play, Comedy","Jan 14, 1935",May 1935,131
Lace on Her Petticoat,Original,Play,"Sep 04, 1951","Nov 10, 1951",79
Lace Petticoat,Original,"Musical, Comedy","Jan 04, 1927","Jan 15, 1927",15
Ladies All,Original,"Play, Comedy","Jul 28, 1930","Dec 13, 1930",140
Ladies and Gentlemen,Original,Play,"Oct 17, 1939","Jan 13, 1940",105
Ladies at the Alamo,Original,Play,"Apr 07, 1977","Apr 23, 1977",20
Ladies Don't Lie,Original,"Play, Comedy","Oct 10, 1929",Oct 1929,12
Ladies First,Original,"Musical, Play","Oct 24, 1918","Mar 15, 1919",164
Ladies in Retirement,Original,"Play, Drama","Mar 26, 1940","Aug 03, 1940",151
Ladies Leave,Original,"Play, Comedy","Oct 01, 1929",Oct 1929,15
Ladies Night in a Turkish Bath,Original,"Play, Comedy","Feb 17, 1950",<em>Closing date unknown</em>,0
Ladies of Creation,Original,"Play, Comedy","Sep 08, 1931","Nov 07, 1931",72
Ladies of the Evening,Original,Play,"Dec 23, 1924",May 1925,159
Ladies of the Jury,Original,"Play, Comedy","Oct 21, 1929",Jan 1930,88
Ladies' Money,Original,"Play, Drama","Nov 01, 1934","Dec 01, 1934",36
Lady Alone,Original,Play,"Jan 20, 1927",Feb 1927,44
Lady Beyond the Moon,Original,"Play, Comedy","Mar 31, 1931",Apr 1931,15
Lady Bug,Original,"Play, Farce","Apr 17, 1922",Apr 1922,5
Lady Butterfly,Original,"Musical, Comedy","Jan 22, 1923","May 12, 1923",128
Lady Clara,Original,"Play, Comedy","Apr 17, 1930",May 1930,28
Lady Do,Original,"Musical, Comedy","Apr 18, 1927","Jun 04, 1927",56
Lady Fingers,Original,"Musical, Comedy","Jan 31, 1929","May 25, 1929",132
Lady Frederick,Original,Play,"Nov 09, 1908",Feb 1909,96
Lady Huntworth's Experiment,Original,"Play, Comedy","Dec 21, 1900","Mar 03, 1901",86
Lady in the Dark,Original,"Musical, Comedy","Jan 23, 1941","May 30, 1942",467
Lady in the Dark,Revival,Musical,"Feb 27, 1943","May 15, 1943",83
Lady in Waiting,Original,"Play, Comedy","Mar 27, 1940","Jun 08, 1940",87
Lady Jane,Original,"Play, Comedy","Sep 10, 1934","Oct 13, 1934",40
Lady Jim,Original,"Play, Comedy","Aug 28, 1906",Sep 1906,23
Lady Luck,Original,"Play, Comedy","Apr 15, 1936",Apr 1936,5
Lady Luxury,Original,"Musical, Comedy","Dec 25, 1914","Jan 23, 1915",35
Lady Margaret,Original,"Play, Comedy","Jan 27, 1902",Feb 1902,32
Lady of Letters,Original,"Play, Comedy","Mar 28, 1935",Apr 1935,20
Lady of the Rose,Original,Play,"May 19, 1925",May 1925,8
Lady Patricia,Original,"Play, Comedy","Feb 26, 1912",Mar 1912,32
Lady Precious Stream,Original,"Play, Drama","Jan 27, 1936",Apr 1936,105
Lady Rose's Daughter,Original,Play,"Nov 16, 1903",Nov 1903,16
Lady Teazle,Original,Musical,"Dec 24, 1904","Feb 11, 1905",57
Lady Windermere's Fan,Revival,"Play, Comedy","Mar 30, 1914",<em>Closing date unknown</em>,72
Lady Windermere's Fan,Revival,"Play, Comedy","Jan 26, 1932",Jan 1932,4
Lady Windermere's Fan,Revival,"Play, Comedy","Oct 14, 1946","Apr 26, 1947",228
"Lady, Be Good!",Original,"Musical, Comedy","Dec 01, 1924","Sep 12, 1925",330
"Lady, Behave!",Original,Play,"Nov 16, 1943","Dec 04, 1943",23
Laff That Off,Original,"Play, Comedy","Nov 02, 1925",Jun 1926,263
Lalla Rookh,Original,"Musical, Burlesque","Jun 18, 1859","Aug 20, 1859",30
Lalla Rookh,Original,"Musical, Burlesque","Aug 02, 1869","Aug 21, 1869",18
Lalla Rookh,Original,Musical,"Mar 18, 1872","May 04, 1872",50
Lally,Original,Play,"Feb 08, 1927",Apr 1927,63
Lamb Chop on Broadway,Original,"Special, Puppets","Dec 06, 1994","Dec 11, 1994",8
Lamplight,Original,Play,"May 09, 1924","May 09, 1924",1
Lamppost Reunion,Original,Play,"Oct 16, 1975","Dec 21, 1975",77
Land of Fame,Original,Play,"Sep 21, 1943","Sep 25, 1943",6
Land's End,Original,"Play, Drama","Dec 11, 1946","Dec 14, 1946",5
Largely New York,Original,"Play, Comedy","May 01, 1989","Sep 02, 1989",144
Lass O'Laughter,Original,"Play, Comedy","Jan 08, 1925",Feb 1925,28
Lassie,Original,"Musical, Comedy","Apr 06, 1920","Aug 21, 1920",159
Last Licks,Original,Play,"Nov 20, 1979","Dec 01, 1979",15
Last Night of Don Juan,Original,Play,"Nov 09, 1925","Nov 25, 1925",16
Last of the Red Hot Lovers,Original,"Play, Comedy","Dec 28, 1969","Sep 04, 1971",706
Last Stop,Original,Play,"Sep 05, 1944","Sep 23, 1944",23
Late Love,Original,"Play, Comedy","Oct 13, 1953","Jan 02, 1954",95
